"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"< 1 year"	"0"	7	1582999	Unreliable
	"2003"	"2003"	"1 year"	"1"	4	1563497	Unreliable
	"2003"	"2003"	"2 years"	"2"	4	1586282	Unreliable
	"2003"	"2003"	"3 years"	"3"	2	1536650	Unreliable
	"2003"	"2003"	"4 years"	"4"	1	1519695	Unreliable
	"2003"	"2003"	"5 years"	"5"	0	1519236	Unreliable
	"2003"	"2003"	"6 years"	"6"	1	1523079	Unreliable
	"2003"	"2003"	"7 years"	"7"	0	1560742	Unreliable
	"2003"	"2003"	"8 years"	"8"	0	1584488	Unreliable
	"2003"	"2003"	"9 years"	"9"	0	1598904	Unreliable
	"2003"	"2003"	"10 years"	"10"	0	1658955	Unreliable
	"2003"	"2003"	"11 years"	"11"	0	1681320	Unreliable
	"2003"	"2003"	"12 years"	"12"	2	1715532	Unreliable
	"2003"	"2003"	"13 years"	"13"	3	1746444	Unreliable
